School Unit Name,Elementary School Cases,Middle School Cases,High School Cases,Gender,Reporting Date
Littlewood School of Fine Arts,612,969,184,F,03-12-2020
Broad River University,997,394,475,F,30-07-2019
Foothill School for Boys,178,59,656,M,24-12-2020
Little Green Tree House,832,583,879,M,22-09-2019
Patriot Secondary School,464,519,828,M,20-07-2019
Great Oak University,249,391,409,M,17-07-2019
Great Oak Secondary School,313,105,482,M,27-01-2020
Monarch Charter School,700,193,683,M,06-07-2019
Littlewood School of Fine Arts,181,824,870,F,21-04-2019
Schooled In Success,187,132,130,F,08-10-2020
Winters College,183,147,702,F,28-03-2019
Start Smart,425,35,642,F,05-07-2020
Spring Gardens School,95,153,700,M,09-12-2019
Prioritize Primary,171,405,18,M,27-06-2019
Golden Oak Secondary School,454,879,879,F,01-04-2019
Laugh n’ Learn,189,727,183,F,14-04-2019
Maple Ridge School for Boys,733,301,735,F,13-12-2020
Kids in Action,202,262,739,M,21-01-2020
Apple Valley High,388,375,645,M,18-09-2020
Bright Beginnings,64,787,135,F,29-07-2020
Riverdale College,394,411,120,F,29-11-2020
Eagle Mountain School of Fine Arts,3,240,988,M,06-08-2019
Country Day School,505,757,740,M,24-04-2019
Patriot Secondary School,673,394,214,F,18-03-2019
Chalkboard Champions,939,521,742,M,28-09-2019
Milestones Preparatory School,8,120,491,M,27-08-2019
Whale Gulch Middle School,215,896,854,F,26-08-2019
Passion Education,883,298,193,M,12-06-2020
Bright Beginnings,39,515,254,F,17-06-2020
Meadows University,791,668,912,F,01-05-2019
Monarch Charter School,140,471,315,M,15-02-2019
Willow School for Girls,237,442,974,M,08-08-2020
Star Reachers,756,447,826,M,01-06-2019
Leaders In Learning,142,41,330,F,23-02-2019
Crestview School,413,474,867,F,19-05-2019
Portside School,842,357,231,F,16-04-2020
Wisdom Academy,733,882,988,M,22-12-2020
Broad River University,688,421,946,M,17-03-2020
Stronger Scholars,593,828,4,F,22-06-2019
Straight A Academy,902,799,170,M,15-10-2019
Willow Creek College,44,700,971,F,21-11-2019
Granite Bay School,266,433,864,F,13-10-2020
Emirate College,649,190,595,M,23-02-2019
Bright Beginnings,645,6,196,M,20-11-2019
Westview Kindergarten,391,626,554,M,18-06-2020
Fortuna Conservatory,535,856,269,F,28-01-2020
Oak Grove Middle School,999,890,88,F,21-07-2020
Portside School,672,955,713,F,17-04-2020
Crestview School,221,36,300,F,26-11-2020
Emirate College,693,910,68,F,17-03-2020
Creating Champions,909,674,362,M,23-10-2019
Little Green Tree House,240,699,116,F,01-01-2019
Little Green Tree House,729,464,80,F,20-01-2019
Destined College,749,445,227,F,19-05-2019
Tulip Tree,555,952,773,F,13-11-2020
Promise Conservatory,609,85,519,F,09-03-2019
Star Reachers,375,676,478,M,05-01-2021
Schooled In Success,83,857,929,M,13-02-2020
Westside Grammar School,530,144,472,F,04-02-2020
Emirate College,83,957,165,F,27-06-2019
Leaders In Learning,358,891,600,M,13-08-2019
Institute For Knowledge,665,984,886,F,16-11-2019
We Care Childcare,873,522,95,M,07-06-2020
Summerfield School of Fine Arts,610,930,650,M,23-04-2020
Alphabetz,637,624,336,M,30-10-2019
Winters College,621,157,696,F,04-04-2019
Sunny Coast Middle School,598,989,492,M,11-06-2020
Martin Luther King University,731,371,709,F,14-06-2020
A Step Ahead,849,856,711,F,17-01-2020
Crestview School,470,43,980,F,04-04-2019
Learning Tree,857,511,590,M,06-04-2019
Alphabetz,933,746,797,F,27-03-2019
Cream de la Creme,91,142,947,M,24-10-2020
Open Skies,228,637,406,F,29-12-2020
Willow School for Girls,794,908,533,F,07-04-2020
Head Of The Class,922,703,666,M,10-09-2020
Little Feats,107,795,257,M,11-04-2020
Desert Sands High,117,246,781,M,14-11-2019
Westview Kindergarten,84,443,822,M,09-12-2019
All About Kids,395,492,709,F,13-09-2020
Laugh n’ Learn,917,334,911,M,21-02-2020
Laugh n’ Learn,655,506,39,M,24-11-2019
Littlewood School of Fine Arts,261,697,590,M,24-10-2019
Central Technical School,756,5,829,M,13-11-2019
Big Pine Grammar School,334,504,797,M,21-11-2019
Schooled In Success,30,172,549,M,21-05-2019
Amazing Alaska,717,802,64,M,07-01-2020
Northview Institute,855,387,862,M,13-12-2019
Great Oak University,584,701,465,F,29-11-2019
Cypress University,312,622,372,F,12-03-2019
Crestview School,181,406,500,M,05-12-2019
Five Star Students,158,92,329,M,07-08-2020
Desert Sands High,585,330,320,M,24-08-2020
Open Skies,439,797,31,F,17-05-2020
Alphabet Kids,930,348,614,M,07-08-2020
Central Technical School,443,564,552,M,19-10-2019
Cream de la Creme,394,945,374,F,22-09-2020
Schooled In Success,709,267,43,F,21-04-2019
Wisdom Academy,197,616,19,M,04-04-2019
Eastside Kindergarten,893,845,864,M,25-02-2020
Kids in Action,270,106,905,F,24-05-2019
Foundations Academy,849,266,157,M,30-11-2019
River Fork School,862,559,530,M,07-10-2019
STEM PreSchool,972,748,176,M,28-02-2019
Camelot Kids,499,808,848,M,10-08-2020
STEM PreSchool,219,403,701,F,12-03-2019
Little Green Tree House,583,467,25,F,11-12-2020
Oak Hills Elementary,190,962,794,F,31-05-2019
Better life,72,85,117,M,31-07-2020
Head Of The Class,510,411,791,M,30-10-2019
Martin Luther King University,171,651,637,F,26-10-2019
Little Green Tree House,577,51,966,M,26-09-2019
Summerfield School of Fine Arts,830,603,290,F,16-11-2019
Better life,701,228,244,M,06-05-2020
A Step Ahead,524,19,998,F,12-05-2019
Desert Sands High,254,325,517,M,01-07-2020
Grounded To Grow,816,233,20,M,23-01-2019
Emirate College,846,892,971,F,06-04-2020
Westview Kindergarten,2,592,64,M,09-05-2019
Chalkboard Champions,709,218,414,F,16-01-2019
STEM PreSchool,164,98,26,F,20-06-2020
Grounded To Grow,420,552,432,M,25-11-2020
Westview Middle School,995,894,560,F,22-08-2019
Laugh n’ Learn,699,539,958,M,20-10-2020
Granite Bay School,976,571,880,M,17-02-2020
Eastside Kindergarten,72,364,602,M,06-10-2020
Monarch Charter School,422,219,57,M,03-06-2020
Littlewood School of Fine Arts,751,597,761,M,22-09-2019
Patriot Secondary School,334,943,176,F,27-10-2019
Kinderhaus,909,98,50,F,04-09-2019
