School Unit Name,Elementary School Cases,Middle School Cases,High School Cases,Gender,Reporting Date
Start Smart,39,72,65,M,18-06-2019
Passion Education,98,9,47,F,03-12-2019
Little Feats,56,15,11,F,07-04-2020
Green Sprout,71,37,97,M,25-02-2019
A Step Ahead,95,4,32,M,27-08-2019
Kinderhaus,72,1,42,F,17-09-2020
Learning Tree,93,39,26,F,08-12-2020
Little Green Tree House,17,94,57,M,26-09-2019
All About Kids,25,51,42,M,04-12-2020
Tulip Tree,62,41,11,F,23-03-2020
Wagon Wheel School,73,17,85,M,09-04-2019
Alphabet Kids,43,62,80,M,13-09-2019
Amazing Alaska,22,24,63,M,02-07-2019
Rainbow High,5,94,11,F,23-07-2019
Elk Grove Middle School,37,16,22,F,05-12-2020
Monarch College,31,93,99,M,02-09-2019
Oak Grove Middle School,46,12,100,F,18-06-2020
Sunny Coast Middle School,11,67,65,F,13-03-2020
Eagle Mountain School of Fine Arts,85,12,83,M,09-12-2019
Central Technical School,88,71,36,F,12-02-2020
Whale Gulch Middle School,54,29,85,M,08-05-2019
Patriot Secondary School,99,46,93,F,30-03-2020
Broad River University,64,1,94,F,28-01-2019
Westview Middle School,41,82,11,F,07-06-2020
Accelerated Academy,28,64,28,M,15-01-2019
Schooled In Success,22,42,97,M,06-08-2020
Meadows University,52,42,72,F,07-01-2019
Winters College,69,62,64,M,27-07-2019
Granite Bay School,8,94,8,M,15-10-2019
Enterprise School,25,45,5,M,22-12-2019
Crestview School,10,2,67,F,02-07-2019
Forward Thinking,64,52,96,M,28-01-2019
Golden Oak Secondary School,65,87,8,M,25-11-2020
Eagle Mountain College,55,74,57,M,11-07-2020
Somerset Technical School,28,87,96,M,16-06-2020
Eagle Mountain University,47,68,96,F,26-03-2019
Ravenwood High,32,88,90,F,27-08-2019
New Opportunties,23,20,66,F,04-08-2020
Foundations Academy,5,66,82,F,14-12-2019
Summerfield School of Fine Arts,54,7,33,M,08-05-2020
Desert Sands High,33,10,78,M,22-12-2019
Maple Ridge School for Boys,42,23,30,F,06-11-2019
Cypress University,30,35,87,M,05-07-2019
Chalkboard Champions,48,100,92,M,02-09-2020
Five Star Students,92,21,82,M,19-10-2020
Oakwood Grammar School,5,87,30,M,23-06-2020
Martin Luther King University,87,76,77,F,19-04-2020
Westview Kindergarten,79,65,69,M,17-04-2020
Foothill School for Boys,35,56,96,M,10-08-2019
Bright Beginnings,54,14,38,F,25-01-2019
Open Skies,44,53,60,F,08-08-2020
Eastside Kindergarten,16,29,12,M,06-09-2019
Eastwood High,94,55,70,M,10-07-2019
Star Reachers,70,85,55,M,21-06-2020
Institute For Knowledge,65,96,85,F,01-02-2019
Eulogia Academy,77,11,37,F,09-06-2020
Great Oak Secondary School,82,68,68,M,08-09-2020
Promise Conservatory,8,48,93,M,08-01-2019
Superstars,85,84,50,M,25-02-2019
Emirate College,19,16,11,F,11-04-2019
Heroes College,4,69,41,M,27-10-2019
Westside Grammar School,69,98,49,M,29-03-2019
Timber Creek Secondary School,74,38,92,F,23-11-2019
Destined College,58,94,94,M,12-07-2020
Milestones Preparatory School,6,66,74,F,08-04-2019
Big Pine Grammar School,38,81,5,M,03-04-2019
Compassion Academy,91,89,85,M,17-02-2020
Portside School,89,16,79,F,08-06-2020
Excellence Academy,30,99,71,F,07-01-2020
Our Little Ones Preschool,92,50,35,M,26-08-2019
Pigtails Daycare,50,44,36,M,02-05-2020
Playland Preschool,50,100,49,F,15-07-2019
Open Mind Academy,50,3,73,M,24-02-2019
No Limits,27,78,59,F,30-06-2019
Food For Brain Academy,42,50,44,F,19-12-2020
New Horizons,80,55,79,M,27-08-2020
One World Academy,76,98,2,F,29-10-2020
Toddler Tech,90,77,14,F,13-06-2020
Oakland School for Boys,10,89,35,F,11-11-2020
Lakewood Institute,77,79,27,M,22-10-2020
Coral Coast High School,22,25,20,F,30-04-2020
Small Steps,87,4,29,F,31-07-2020
The Nurtury,22,20,37,F,30-05-2019
First Steps,51,34,80,F,04-07-2019
Forging the Future,92,62,73,F,22-12-2019
Eastwood School for Boys,45,70,57,M,17-04-2019
Grand Ridge Charter School,76,3,63,F,28-09-2020
Mastery Academy,51,25,32,M,05-12-2020
Win in Life,22,21,86,F,31-03-2020
Set to Success,22,3,25,M,08-01-2019
Success Academy,10,46,56,F,20-06-2019
Scholars Institute,52,40,50,M,07-06-2020
Advantage Academy,63,21,56,F,21-05-2019
Miles Ahead,74,54,42,M,02-12-2020
Creating The Future,97,9,44,M,06-11-2020
Future Builders,35,84,61,M,25-04-2019
Waterford Conservatory,18,53,68,M,03-03-2019
The Next Prodigy,6,63,59,M,04-02-2020
Sacred Study Academy,29,63,62,M,05-07-2019
Horizon Grammar College,58,65,51,F,05-02-2019
